cohort	tree	framework	strategy	task	encoder	model	surv_loss	experiment_id	n_folds	n_fold_dirs	seed	elapsed_s	primary_metric	test_mean	test_std	test_ci_low	test_ci_high	val_mean	val_std	per_fold_test	per_fold_val	mtime	path
cptac_gbm	benchmark_5fold	abmil	standard	os	hoptimus1	abmil	cox	abmil__standard__os__hoptimus1__abmil__s42__cox	5	5	42	3334	c_index	0.5559711090517363	0.13917942580858914	0.44924304900813716	0.6618715968089147	0.5310204470452149	0.09999022070053382	[0.49056603773584906, 0.46060606060606063, 0.7046979865771812, 0.41721854304635764, 0.706766917293233]	[0.6176470588235294, 0.48717948717948717, 0.44, 0.6578947368421053, 0.4523809523809524]	1784810419	abmil/standard/os/hoptimus1/abmil/cox
cptac_gbm	benchmark_5fold	abmil	standard	os	hoptimus1	abmil	nllsurv	abmil__standard__os__hoptimus1__abmil__s42__nllsurv	5	5	42	3434	c_index	0.556257816713415	0.09243904785989163	0.4884038182651203	0.6313667516610606	0.5640638247201715	0.08534162262242163	[0.49056603773584906, 0.47878787878787876, 0.6845637583892618, 0.5033112582781457, 0.6240601503759399]	[0.6176470588235294, 0.5384615384615384, 0.48, 0.6842105263157895, 0.5]	1784810509	abmil/standard/os/hoptimus1/abmil/nllsurv
cptac_gbm	benchmark_5fold	abmil	standard	os	uni_v2	abmil	cox	abmil__standard__os__uni_v2__abmil__s42__cox	5	5	42	3288	c_index	0.5422333347704376	0.15168215969997517	0.42490990121128813	0.6590949001545964	0.5818359926966739	0.09341191060938847	[0.4968553459119497, 0.43636363636363634, 0.6711409395973155, 0.37748344370860926, 0.7293233082706767]	[0.5882352941176471, 0.5641025641025641, 0.52, 0.7368421052631579, 0.5]	1784810370	abmil/standard/os/uni_v2/abmil/cox
cptac_gbm	benchmark_5fold	abmil	standard	os	uni_v2	abmil	nllsurv	abmil__standard__os__uni_v2__abmil__s42__nllsurv	5	5	42	3496	c_index	0.5583770546234683	0.10758370537130975	0.479897235506382	0.6417581481634619	0.5494488710463943	0.0942403445185225	[0.4968553459119497, 0.45454545454545453, 0.7046979865771812, 0.4966887417218543, 0.6390977443609023]	[0.5882352941176471, 0.48717948717948717, 0.44, 0.6842105263157895, 0.5476190476190477]	1784810583	abmil/standard/os/uni_v2/abmil/nllsurv
cptac_gbm	benchmark_5fold	abmil	standard	os	virchow2	abmil	cox	abmil__standard__os__virchow2__abmil__s42__cox	5	5	42	3527	c_index	0.5629390104618888	0.13496521977166825	0.45818136380675434	0.6664185055983807	0.5907360709465973	0.15012606462378095	[0.5220125786163522, 0.46060606060606063, 0.7315436241610739, 0.423841059602649, 0.6766917293233082]	[0.5, 0.6153846153846154, 0.52, 0.8421052631578947, 0.47619047619047616]	1784810618	abmil/standard/os/virchow2/abmil/cox
cptac_gbm	benchmark_5fold	abmil	standard	os	virchow2	abmil	nllsurv	abmil__standard__os__virchow2__abmil__s42__nllsurv	5	5	42	3543	c_index	0.529418734363588	0.11616755373319809	0.44271110454791573	0.6212253024262915	0.5752595969561914	0.14867676125453994	[0.44025157232704404, 0.41818181818181815, 0.697986577181208, 0.4966887417218543, 0.5939849624060151]	[0.5588235294117647, 0.41025641025641024, 0.52, 0.8157894736842105, 0.5714285714285714]	1784810621	abmil/standard/os/virchow2/abmil/nllsurv
cptac_gbm	benchmark_5fold	abmil	standard	tp53	hoptimus1	abmil		abmil__standard__tp53__hoptimus1__abmil__s42	5	5	42	99	auc_roc	0.7681877378921569	0.0525109645129092	0.7285865301427037	0.8072569664692224	0.852857501975149	0.09823856616702599	[0.6979310344827586, 0.7437275985663082, 0.8264462809917354, 0.7596153846153846, 0.8132183908045977]	[0.8916666666666667, 1.0, 0.7582417582417583, 0.773109243697479, 0.8412698412698413]	1784807325	abmil/standard/tp53/hoptimus1/abmil
cptac_gbm	benchmark_5fold	abmil	standard	tp53	uni_v2	abmil		abmil__standard__tp53__uni_v2__abmil__s42	5	5	42	84	auc_roc	0.7080972466876501	0.04051340768184864	0.6770322029068111	0.7388609227489235	0.8298077820871939	0.09980323123206652	[0.6744827586206896, 0.7526881720430108, 0.674931129476584, 0.7516025641025641, 0.6867816091954023]	[0.8666666666666667, 0.9895833333333334, 0.7582417582417583, 0.7647058823529411, 0.7698412698412698]	1784807303	abmil/standard/tp53/uni_v2/abmil
cptac_gbm	benchmark_5fold	abmil	standard	tp53	virchow2	abmil		abmil__standard__tp53__virchow2__abmil__s42	5	5	42	171	auc_roc	0.7139651617413272	0.05997225371433233	0.6679327933221149	0.7599975301605395	0.834764598146951	0.12771650907465035	[0.7489655172413794, 0.6594982078853047, 0.7961432506887052, 0.655448717948718, 0.7097701149425287]	[0.9, 0.9791666666666666, 0.7582417582417582, 0.6554621848739496, 0.8809523809523809]	1784807420	abmil/standard/tp53/virchow2/abmil
cptac_gbm	benchmark_5fold	clam	standard	os	hoptimus1	clam_mb	nllsurv	clam__standard__os__hoptimus1__clam_mb__s42__nllsurv	5	5	42	0	c_index	0.5612257442632603	0.08470045467503393	0.4996997338119417	0.6286160638279363	0.5430282039941483	0.07840654042978877	[0.5094339622641509, 0.48484848484848486, 0.6778523489932886, 0.5099337748344371, 0.6240601503759399]	[0.5882352941176471, 0.5128205128205128, 0.48, 0.6578947368421053, 0.47619047619047616]	1784808627	clam/standard/os/hoptimus1/clam_mb/nllsurv
cptac_gbm	benchmark_5fold	clam	standard	os	uni_v2	clam_mb	nllsurv	clam__standard__os__uni_v2__clam_mb__s42__nllsurv	5	5	42	0	c_index	0.5482617014257009	0.10030333740240915	0.4752835868367544	0.6321131064471703	0.5469225552569206	0.06504189958123462	[0.49056603773584906, 0.4727272727272727, 0.6912751677852349, 0.47019867549668876, 0.6165413533834586]	[0.5882352941176471, 0.48717948717948717, 0.48, 0.631578947368421, 0.5476190476190477]	1784808647	clam/standard/os/uni_v2/clam_mb/nllsurv
cptac_gbm	benchmark_5fold	clam	standard	os	virchow2	clam_mb	nllsurv	clam__standard__os__virchow2__clam_mb__s42__nllsurv	5	5	42	0	c_index	0.5490187783812821	0.09713064314806825	0.47459437616339306	0.6234431805991711	0.46884809308338726	0.12604010180291683	[0.4779874213836478, 0.4303030303030303, 0.6711409395973155, 0.609271523178808, 0.556390977443609]	[0.6176470588235294, 0.358974358974359, 0.32, 0.5, 0.5476190476190477]	1784808918	clam/standard/os/virchow2/clam_mb/nllsurv
cptac_gbm	benchmark_5fold	clam	standard	tp53	hoptimus1	clam_mb		clam__standard__tp53__hoptimus1__clam_mb__s42	5	5	42	19045.49509559397	auc_roc	0.7474736777924158	0.04362032774337634	0.7135886787788901	0.7834217506631299	0.8755201824319471	0.12575059395652718	[0.6910344827586207, 0.7275985663082437, 0.743801652892562, 0.8076923076923077, 0.7672413793103449]	[0.9666666666666668, 0.9791666666666666, 0.6703296703296703, 0.8487394957983193, 0.9126984126984128]	1784826077	clam/standard/tp53/hoptimus1/clam_mb
cptac_gbm	benchmark_5fold	clam	standard	tp53	uni_v2	clam_mb		clam__standard__tp53__uni_v2__clam_mb__s42	5	5	42	20048.85517253203	auc_roc	0.7070378662359651	0.09098852477833479	0.6286463379880309	0.7753074712643676	0.8327134956546722	0.17735766642103912	[0.6620689655172415, 0.7634408602150538, 0.578512396694215, 0.717948717948718, 0.8132183908045978]	[0.95, 1.0, 0.5604395604395604, 0.7563025210084033, 0.8968253968253969]	1784827081	clam/standard/tp53/uni_v2/clam_mb
cptac_gbm	benchmark_5fold	clam	standard	tp53	virchow2	clam_mb		clam__standard__tp53__virchow2__clam_mb__s42	5	5	42	24838.696558165015	auc_roc	0.7433771245046905	0.041283763232470745	0.717328269183233	0.778397764722216	0.8173909179056238	0.18166083356642485	[0.743448275862069, 0.7078853046594983, 0.7327823691460055, 0.719551282051282, 0.8132183908045977]	[0.9, 0.9895833333333334, 0.6483516483516483, 0.5966386554621849, 0.9523809523809523]	1784831871	clam/standard/tp53/virchow2/clam_mb
cptac_gbm	benchmark_5fold	dtfd	standard	os	hoptimus1	dtfd_mil	nllsurv	dtfd__standard__os__hoptimus1__dtfd_mil__s42__nllsurv	5	5	42	3652	c_index	0.5478023522499356	0.09087095556370792	0.47635833532122424	0.6176013169507616	0.5371575545197836	0.08518569362313444	[0.4339622641509434, 0.47878787878787876, 0.6308724832214765, 0.5562913907284768, 0.6390977443609023]	[0.47058823529411764, 0.48717948717948717, 0.52, 0.6842105263157895, 0.5238095238095238]	1784810763	dtfd/standard/os/hoptimus1/dtfd_mil/nllsurv
